,fips,first_case_date,first_death_date,first_case_week,first_death_week
2203,40135,2020-03-26,2020-03-28,2020-03-23,2020-03-23
2204,40137,2020-03-25,2020-04-02,2020-03-23,2020-03-30
2205,40139,2020-03-29,2020-04-15,2020-03-23,2020-04-13
2206,40141,2020-04-04,,2020-03-30,
2207,40143,2020-03-07,2020-03-19,2020-03-02,2020-03-16
2208,40145,2020-03-25,2020-03-28,2020-03-23,2020-03-23
2209,40147,2020-03-19,2020-04-04,2020-03-16,2020-03-30
2210,40149,2020-04-03,,2020-03-30,
2211,40151,2020-04-19,,2020-04-13,
2212,40153,2020-04-02,,2020-03-30,
2213,41001,2020-05-06,,2020-05-04,
2214,41003,2020-03-17,2020-03-31,2020-03-16,2020-03-30
2215,41005,2020-03-12,2020-03-24,2020-03-09,2020-03-23
2216,41007,2020-03-24,,2020-03-23,
2217,41009,2020-03-27,,2020-03-23,
2218,41011,2020-04-13,,2020-04-13,
2219,41013,2020-04-03,,2020-03-30,
2220,41015,2020-04-07,,2020-04-06,
2221,41017,2020-03-11,,2020-03-09,
2222,41019,2020-03-08,,2020-03-02,
2223,41021,,,,
2224,41023,2020-03-20,,2020-03-16,
2225,41025,2020-04-28,,2020-04-27,
2226,41027,2020-03-23,,2020-03-23,
2227,41029,2020-03-07,,2020-03-02,
2228,41031,2020-04-14,,2020-04-13,
2229,41033,2020-03-21,2020-04-12,2020-03-16,2020-04-06
2230,41035,2020-03-07,,2020-03-02,
2231,41037,,,,
2232,41039,2020-03-18,2020-03-18,2020-03-16,2020-03-16
2233,41041,2020-03-25,,2020-03-23,
2234,41043,2020-03-12,2020-03-22,2020-03-09,2020-03-16
2235,41045,2020-03-31,,2020-03-30,
2236,41047,2020-03-08,2020-03-21,2020-03-02,2020-03-16
2237,41049,2020-03-27,,2020-03-23,
2238,41051,2020-03-11,2020-03-15,2020-03-09,2020-03-09
2239,41053,2020-03-11,2020-04-03,2020-03-09,2020-03-30
2240,41055,2020-04-05,,2020-03-30,
2241,41057,2020-03-26,,2020-03-23,
2242,41059,2020-03-02,2020-05-02,2020-03-02,2020-04-27
2243,41061,2020-03-20,,2020-03-16,
2244,41063,2020-03-31,,2020-03-30,
2245,41065,2020-03-26,2020-04-26,2020-03-23,2020-04-20
2246,41067,2020-02-29,2020-03-18,2020-02-24,2020-03-16
2247,41069,,,,
2248,41071,2020-03-16,2020-03-28,2020-03-16,2020-03-23
2249,42001,2020-03-20,2020-04-09,2020-03-16,2020-04-06
2250,42003,2020-03-14,2020-03-21,2020-03-09,2020-03-16
2251,42005,2020-03-24,2020-04-11,2020-03-23,2020-04-06
2252,42007,2020-03-17,2020-03-31,2020-03-16,2020-03-30
2253,42009,2020-03-31,2020-04-11,2020-03-30,2020-04-06
2254,42011,2020-03-18,2020-04-02,2020-03-16,2020-03-30
2255,42013,2020-03-26,,2020-03-23,
2256,42015,2020-03-24,2020-04-19,2020-03-23,2020-04-13
2257,42017,2020-03-11,2020-03-29,2020-03-09,2020-03-23
2258,42019,2020-03-21,2020-03-26,2020-03-16,2020-03-23
2259,42021,2020-03-23,2020-04-07,2020-03-23,2020-04-06
2260,42023,2020-03-28,,2020-03-23,
2261,42025,2020-03-24,2020-03-31,2020-03-23,2020-03-30
2262,42027,2020-03-20,2020-04-17,2020-03-16,2020-04-13
2263,42029,2020-03-13,2020-03-31,2020-03-09,2020-03-30
2264,42031,2020-03-28,2020-04-18,2020-03-23,2020-04-13
2265,42033,2020-03-24,,2020-03-23,
2266,42035,2020-04-03,,2020-03-30,
2267,42037,2020-03-22,2020-04-07,2020-03-16,2020-04-06
2268,42039,2020-03-26,,2020-03-23,
2269,42041,2020-03-13,2020-03-28,2020-03-09,2020-03-23
2270,42043,2020-03-21,2020-03-31,2020-03-16,2020-03-30
2271,42045,2020-03-06,2020-03-25,2020-03-02,2020-03-23
2272,42047,2020-04-07,,2020-04-06,
2273,42049,2020-03-18,2020-04-27,2020-03-16,2020-04-27
2274,42051,2020-03-22,2020-04-01,2020-03-16,2020-03-30
2275,42053,2020-04-02,,2020-03-30,
2276,42055,2020-03-20,2020-04-21,2020-03-16,2020-04-20
2277,42057,2020-04-05,,2020-03-30,
2278,42059,2020-03-25,2020-05-03,2020-03-23,2020-04-27
2279,42061,2020-03-28,,2020-03-23,
2280,42063,2020-03-26,2020-04-15,2020-03-23,2020-04-13
2281,42065,2020-04-07,,2020-04-06,
2282,42067,2020-03-24,2020-04-29,2020-03-23,2020-04-27
2283,42069,2020-03-18,2020-03-24,2020-03-16,2020-03-23
2284,42071,2020-03-18,2020-03-28,2020-03-16,2020-03-23
2285,42073,2020-03-25,2020-03-29,2020-03-23,2020-03-23
2286,42075,2020-03-19,2020-04-10,2020-03-16,2020-04-06
2287,42077,2020-03-16,2020-03-22,2020-03-16,2020-03-16
2288,42079,2020-03-16,2020-03-25,2020-03-16,2020-03-23
2289,42081,2020-03-25,2020-04-21,2020-03-23,2020-04-20
2290,42083,2020-03-28,,2020-03-23,
2291,42085,2020-03-22,2020-04-17,2020-03-16,2020-04-13
2292,42087,2020-03-29,,2020-03-23,
2293,42089,2020-03-10,2020-03-23,2020-03-09,2020-03-23
2294,42091,2020-03-08,2020-03-22,2020-03-02,2020-03-16
2295,42093,2020-03-21,,2020-03-16,
2296,42095,2020-03-12,2020-03-18,2020-03-09,2020-03-16
2297,42097,2020-03-28,,2020-03-23,
2298,42099,2020-03-28,2020-04-03,2020-03-23,2020-03-30
2299,42101,2020-03-10,2020-03-25,2020-03-09,2020-03-23
2300,42103,2020-03-12,2020-03-28,2020-03-09,2020-03-23
2301,42105,2020-03-20,,2020-03-16,
2302,42107,2020-03-22,2020-04-09,2020-03-16,2020-04-06
2303,42109,2020-03-28,2020-03-31,2020-03-23,2020-03-30
2304,42111,2020-03-24,2020-05-02,2020-03-23,2020-04-27
2305,42113,2020-04-04,,2020-03-30,
2306,42115,2020-03-26,2020-04-09,2020-03-23,2020-04-06
2307,42117,2020-03-28,2020-04-11,2020-03-23,2020-04-06
2308,42119,2020-03-27,2020-05-05,2020-03-23,2020-05-04
2309,42121,2020-03-29,,2020-03-23,
2310,42123,2020-03-25,2020-04-21,2020-03-23,2020-04-20
2311,42125,2020-03-13,2020-04-14,2020-03-09,2020-04-13
2312,42127,2020-03-06,2020-04-08,2020-03-02,2020-04-06
2313,42129,2020-03-19,2020-04-10,2020-03-16,2020-04-06
2314,42131,2020-04-02,2020-04-16,2020-03-30,2020-04-13
2315,42133,2020-03-18,2020-04-02,2020-03-16,2020-03-30
2316,44001,2020-03-21,,2020-03-16,
2317,44003,2020-03-21,,2020-03-16,
2318,44005,2020-03-21,,2020-03-16,
2319,44007,2020-03-01,2020-04-03,2020-02-24,2020-03-30
2320,44009,2020-03-21,,2020-03-16,
2321,45001,2020-03-19,,2020-03-16,
2322,45003,2020-03-20,2020-03-31,2020-03-16,2020-03-30
2323,45005,2020-04-01,2020-04-23,2020-03-30,2020-04-20
2324,45007,2020-03-16,2020-03-30,2020-03-16,2020-03-30
2325,45009,2020-03-31,,2020-03-30,
2326,45011,2020-03-30,,2020-03-30,
2327,45013,2020-03-14,2020-03-30,2020-03-09,2020-03-30
2328,45015,2020-03-20,2020-04-10,2020-03-16,2020-04-06
2329,45017,2020-03-17,2020-03-31,2020-03-16,2020-03-30
2330,45019,2020-03-07,2020-03-23,2020-03-02,2020-03-23
2331,45021,2020-04-02,,2020-03-30,
2332,45023,2020-03-23,,2020-03-23,
2333,45025,2020-03-24,2020-04-30,2020-03-23,2020-04-27
2334,45027,2020-03-20,2020-03-20,2020-03-16,2020-03-16
2335,45029,2020-03-21,2020-04-15,2020-03-16,2020-04-13
2336,45031,2020-03-20,2020-04-26,2020-03-16,2020-04-20
2337,45033,2020-03-21,,2020-03-16,
2338,45035,2020-03-19,2020-04-11,2020-03-16,2020-04-06
2339,45037,2020-03-21,2020-04-21,2020-03-16,2020-04-20
2340,45039,2020-03-17,2020-04-23,2020-03-16,2020-04-20
2341,45041,2020-03-20,2020-03-20,2020-03-16,2020-03-16
2342,45043,2020-03-23,2020-04-04,2020-03-23,2020-03-30
2343,45045,2020-03-16,2020-03-27,2020-03-16,2020-03-23
2344,45047,2020-03-21,,2020-03-16,
2345,45049,2020-03-22,,2020-03-16,
2346,45051,2020-03-16,2020-03-25,2020-03-16,2020-03-23
2347,45053,2020-03-22,2020-04-19,2020-03-16,2020-04-13
2348,45055,2020-03-07,2020-03-23,2020-03-02,2020-03-23
2349,45057,2020-03-11,2020-04-14,2020-03-09,2020-04-13
2350,45059,2020-03-28,2020-04-09,2020-03-23,2020-04-06
2351,45061,2020-03-18,2020-04-01,2020-03-16,2020-03-30
2352,45063,2020-03-14,2020-03-16,2020-03-09,2020-03-16
2353,45065,2020-04-02,2020-04-09,2020-03-30,2020-04-06
2354,45067,2020-03-25,2020-03-31,2020-03-23,2020-03-30
2355,45069,2020-03-21,2020-05-04,2020-03-16,2020-05-04
2356,45071,2020-03-21,2020-04-09,2020-03-16,2020-04-06
2357,45073,2020-03-23,,2020-03-23,
2358,45075,2020-03-20,2020-04-25,2020-03-16,2020-04-20
2359,45077,2020-03-20,2020-04-30,2020-03-16,2020-04-27
2360,45079,2020-03-17,2020-03-27,2020-03-16,2020-03-23
2361,45081,2020-03-19,,2020-03-16,
2362,45083,2020-03-09,2020-04-06,2020-03-09,2020-04-06
2363,45085,2020-03-20,2020-03-26,2020-03-16,2020-03-23
2364,45087,2020-03-25,,2020-03-23,
2365,45089,2020-03-25,2020-05-01,2020-03-23,2020-04-27
2366,45091,2020-03-17,2020-03-31,2020-03-16,2020-03-30
2367,46003,2020-03-27,,2020-03-23,
2368,46005,2020-03-11,2020-04-01,2020-03-09,2020-03-30
2369,46007,,,,
2370,46009,2020-03-11,,2020-03-09,
2371,46011,2020-03-24,,2020-03-23,
2372,46013,2020-03-22,,2020-03-16,
2373,46015,2020-04-12,,2020-04-06,
2374,46017,2020-04-28,,2020-04-27,
2375,46019,2020-03-30,,2020-03-30,
2376,46021,,,,
2377,46023,2020-03-11,,2020-03-09,
2378,46025,2020-03-29,,2020-03-23,
2379,46027,2020-03-29,,2020-03-23,
2380,46029,2020-03-23,,2020-03-23,
2381,46031,2020-04-09,,2020-04-06,
2382,46033,,,,
2383,46035,2020-03-11,,2020-03-09,
2384,46037,2020-04-18,,2020-04-13,
2385,46039,2020-03-28,,2020-03-23,
2386,46041,2020-05-01,,2020-04-27,
2387,46043,2020-04-28,,2020-04-27,
2388,46045,,,,
2389,46047,2020-03-29,,2020-03-23,
2390,46049,2020-03-27,,2020-03-23,
2391,46051,2020-05-06,,2020-05-04,
2392,46053,,,,
2393,46055,,,,
2394,46057,2020-03-28,,2020-03-23,
2395,46059,2020-04-26,,2020-04-20,
2396,46061,,,,
2397,46063,,,,
2398,46065,2020-03-23,,2020-03-23,
2399,46067,2020-03-28,,2020-03-23,
2400,46069,2020-04-13,,2020-04-13,
2401,46071,,,,
2402,46073,2020-04-09,2020-04-24,2020-04-06,2020-04-20
2403,46075,,,,
2404,46077,2020-03-31,,2020-03-30,
2405,46079,2020-04-02,,2020-03-30,
2406,46081,2020-03-27,,2020-03-23,
2407,46083,2020-03-25,,2020-03-23,
2408,46085,2020-03-23,,2020-03-23,
2409,46087,2020-03-13,2020-04-07,2020-03-09,2020-04-06
2410,46089,2020-04-25,,2020-04-20,
2411,46091,2020-03-30,,2020-03-30,
2412,46093,2020-03-25,,2020-03-23,
2413,46095,,,,
2414,46097,2020-04-10,,2020-04-06,
2415,46099,2020-03-11,2020-04-06,2020-03-09,2020-04-06
2416,46101,2020-04-16,,2020-04-13,
2417,46102,2020-04-08,,2020-04-06,
2418,46103,2020-03-11,2020-03-11,2020-03-09,2020-03-09
2419,46105,,,,
2420,46107,,,,
2421,46109,2020-03-29,,2020-03-23,
2422,46111,2020-04-11,,2020-04-06,
2423,46115,2020-04-02,,2020-03-30,
2424,46117,2020-04-24,,2020-04-20,
2425,46119,2020-04-12,,2020-04-06,
2426,46121,2020-03-27,,2020-03-23,
2427,46123,,,,
2428,46125,2020-03-29,,2020-03-23,
2429,46127,2020-03-27,,2020-03-23,
2430,46129,2020-04-12,,2020-04-06,
2431,46135,2020-03-28,,2020-03-23,
2432,46137,2020-05-06,,2020-05-04,
2433,47001,2020-03-20,2020-04-08,2020-03-16,2020-04-06
2434,47003,2020-03-25,2020-04-10,2020-03-23,2020-04-06
2435,47005,2020-03-26,2020-04-23,2020-03-23,2020-04-20
2436,47007,2020-03-28,,2020-03-23,
2437,47009,2020-03-20,2020-04-06,2020-03-16,2020-04-06
2438,47011,2020-03-20,2020-04-14,2020-03-16,2020-04-13
2439,47013,2020-03-14,2020-04-16,2020-03-09,2020-04-13
2440,47015,2020-03-26,,2020-03-23,
2441,47017,2020-03-20,2020-04-20,2020-03-16,2020-04-20
2442,47019,2020-03-28,2020-04-14,2020-03-23,2020-04-13
2443,47021,2020-03-18,,2020-03-16,
2444,47023,2020-03-22,,2020-03-16,
2445,47025,2020-03-23,,2020-03-23,
2446,47027,2020-04-01,,2020-03-30,
2447,47029,2020-03-21,,2020-03-16,
2448,47031,2020-03-29,,2020-03-23,
2449,47033,2020-04-19,,2020-04-13,
2450,47035,2020-03-19,2020-04-28,2020-03-16,2020-04-27
2451,47037,2020-03-08,2020-03-20,2020-03-02,2020-03-16
2452,47039,2020-03-28,,2020-03-23,
2453,47041,2020-03-28,,2020-03-23,
2454,47043,2020-03-20,,2020-03-16,
2455,47045,2020-03-20,,2020-03-16,
2456,47047,2020-03-20,2020-04-16,2020-03-16,2020-04-13
2457,47049,2020-03-31,,2020-03-30,
2458,47051,2020-03-22,2020-04-03,2020-03-16,2020-03-30
2459,47053,2020-03-22,2020-04-23,2020-03-16,2020-04-20
2460,47055,2020-03-30,,2020-03-30,
2461,47057,2020-04-01,,2020-03-30,
2462,47059,2020-03-20,2020-04-02,2020-03-16,2020-03-30
2463,47061,2020-03-24,2020-04-14,2020-03-23,2020-04-13
2464,47063,2020-03-21,2020-04-09,2020-03-16,2020-04-06
2465,47065,2020-03-13,2020-03-25,2020-03-09,2020-03-23
2466,47067,,,,
2467,47069,2020-03-28,,2020-03-23,
2468,47071,2020-03-23,,2020-03-23,
2469,47073,2020-03-25,2020-04-03,2020-03-23,2020-03-30
2470,47075,2020-03-29,2020-04-09,2020-03-23,2020-04-06
2471,47077,2020-04-05,,2020-03-30,
2472,47079,2020-03-29,,2020-03-23,
2473,47081,2020-04-01,,2020-03-30,
2474,47083,2020-03-22,,2020-03-16,
2475,47085,2020-03-31,2020-04-25,2020-03-30,2020-04-20
2476,47087,2020-04-03,,2020-03-30,
2477,47089,2020-03-13,2020-04-16,2020-03-09,2020-04-13
2478,47091,2020-03-29,,2020-03-23,
2479,47093,2020-03-12,2020-03-30,2020-03-09,2020-03-30
2480,47095,2020-04-13,,2020-04-13,
2481,47097,2020-04-01,,2020-03-30,
2482,47099,2020-03-31,,2020-03-30,
2483,47101,2020-03-25,,2020-03-23,
2484,47103,2020-03-23,,2020-03-23,
2485,47105,2020-03-22,,2020-03-16,
2486,47107,2020-03-22,2020-04-29,2020-03-16,2020-04-27
2487,47109,2020-03-29,,2020-03-23,
2488,47111,2020-03-26,2020-04-07,2020-03-23,2020-04-06
2489,47113,2020-03-24,2020-04-20,2020-03-23,2020-04-20
2490,47115,2020-03-22,2020-04-02,2020-03-16,2020-03-30
2491,47117,2020-03-31,2020-04-09,2020-03-30,2020-04-06
2492,47119,2020-03-21,,2020-03-16,
2493,47121,2020-03-26,,2020-03-23,
2494,47123,2020-03-21,2020-04-17,2020-03-16,2020-04-13
2495,47125,2020-03-20,2020-04-04,2020-03-16,2020-03-30
2496,47127,2020-04-16,,2020-04-13,
2497,47129,2020-03-28,,2020-03-23,
2498,47131,2020-03-29,2020-04-03,2020-03-23,2020-03-30
2499,47133,2020-03-24,,2020-03-23,
2500,47135,2020-03-22,,2020-03-16,
2501,47137,,,,
2502,47139,2020-04-02,,2020-03-30,
2503,47141,2020-03-21,2020-04-17,2020-03-16,2020-04-13
2504,47143,2020-03-31,,2020-03-30,
2505,47145,2020-03-21,,2020-03-16,
2506,47147,2020-03-18,,2020-03-16,
2507,47149,2020-03-13,2020-04-02,2020-03-09,2020-03-30
2508,47151,2020-03-21,,2020-03-16,
2509,47153,2020-03-31,,2020-03-30,
2510,47155,2020-03-16,2020-04-19,2020-03-16,2020-04-13
2511,47157,2020-03-08,2020-03-29,2020-03-02,2020-03-23
2512,47159,2020-03-27,2020-04-16,2020-03-23,2020-04-13
2513,47161,2020-04-04,,2020-03-30,
2514,47163,2020-03-11,2020-04-03,2020-03-09,2020-03-30
2515,47165,2020-03-18,2020-03-30,2020-03-16,2020-03-30
2516,47167,2020-03-21,2020-05-04,2020-03-16,2020-05-04
2517,47169,2020-03-28,2020-04-02,2020-03-23,2020-03-30
2518,47171,2020-03-27,,2020-03-23,
2519,47173,2020-03-28,,2020-03-23,
2520,47175,2020-04-13,,2020-04-13,
2521,47177,2020-03-31,,2020-03-30,
2522,47179,2020-03-20,2020-04-04,2020-03-16,2020-03-30
2523,47181,2020-03-31,,2020-03-30,
2524,47183,2020-03-23,,2020-03-23,
2525,47185,2020-03-25,,2020-03-23,
2526,47187,2020-03-05,2020-04-02,2020-03-02,2020-03-30
2527,47189,2020-03-20,2020-04-09,2020-03-16,2020-04-06
2528,48001,2020-03-31,,2020-03-30,
2529,48003,2020-03-28,,2020-03-23,
2530,48005,2020-03-26,,2020-03-23,
2531,48007,2020-03-30,,2020-03-30,
2532,48009,,,,
2533,48011,2020-04-14,,2020-04-13,
2534,48013,2020-03-22,2020-04-17,2020-03-16,2020-04-13
2535,48015,2020-03-26,,2020-03-23,
2536,48017,2020-05-05,,2020-05-04,
2537,48019,2020-04-08,,2020-04-06,
2538,48021,2020-03-24,2020-04-08,2020-03-23,2020-04-06
2539,48023,,,,
2540,48025,2020-04-09,,2020-04-06,
2541,48027,2020-03-14,2020-03-26,2020-03-09,2020-03-23
2542,48029,2020-03-13,2020-03-22,2020-03-09,2020-03-16
2543,48031,2020-03-23,,2020-03-23,
2544,48033,,,,
2545,48035,2020-04-15,,2020-04-13,
2546,48037,2020-03-16,2020-03-31,2020-03-16,2020-03-30
2547,48039,2020-03-14,2020-03-30,2020-03-09,2020-03-30
2548,48041,2020-03-17,2020-03-28,2020-03-16,2020-03-23
2549,48043,2020-05-01,,2020-04-27,
2550,48045,2020-05-02,,2020-04-27,
2551,48047,2020-04-22,,2020-04-20,
2552,48049,2020-03-18,2020-04-14,2020-03-16,2020-04-13
2553,48051,2020-03-28,,2020-03-23,
2554,48053,2020-03-22,,2020-03-16,
2555,48055,2020-03-28,,2020-03-23,
2556,48057,2020-03-25,2020-04-19,2020-03-23,2020-04-13
2557,48059,2020-04-07,,2020-04-06,
2558,48061,2020-03-18,2020-04-07,2020-03-16,2020-04-06
2559,48063,2020-04-01,,2020-03-30,
2560,48065,2020-04-19,,2020-04-13,
2561,48067,2020-03-25,,2020-03-23,
2562,48069,2020-03-20,2020-04-04,2020-03-16,2020-03-30
2563,48071,2020-03-22,,2020-03-16,
2564,48073,2020-03-27,2020-04-14,2020-03-23,2020-04-13
2565,48075,2020-04-19,,2020-04-13,
2566,48077,2020-04-01,,2020-03-30,
2567,48079,2020-04-23,,2020-04-20,
2568,48081,2020-05-05,,2020-05-04,
2569,48083,2020-04-24,,2020-04-20,
2570,48085,2020-03-09,2020-03-18,2020-03-09,2020-03-16
2571,48087,2020-05-05,,2020-05-04,
2572,48089,2020-03-31,,2020-03-30,
2573,48091,2020-03-18,2020-03-27,2020-03-16,2020-03-23
2574,48093,2020-03-28,2020-04-30,2020-03-23,2020-04-27
2575,48095,2020-04-10,,2020-04-06,
2576,48097,2020-04-10,,2020-04-06,
2577,48099,2020-03-25,2020-04-17,2020-03-23,2020-04-13
2578,48101,2020-04-27,,2020-04-27,
2579,48103,2020-03-19,,2020-03-16,
2580,48105,,,,
2581,48107,2020-04-06,2020-04-15,2020-04-06,2020-04-13
2582,48109,,,,
2583,48111,2020-04-06,2020-04-23,2020-04-06,2020-04-20
2584,48113,2020-03-11,2020-03-19,2020-03-09,2020-03-16
2585,48115,2020-03-27,2020-04-09,2020-03-23,2020-04-06
2586,48117,2020-03-22,,2020-03-16,
2587,48119,2020-04-09,,2020-04-06,
2588,48121,2020-03-16,2020-03-26,2020-03-16,2020-03-23
2589,48123,2020-03-18,2020-04-21,2020-03-16,2020-04-20
2590,48125,2020-04-08,,2020-04-06,
2591,48127,2020-04-11,,2020-04-06,
2592,48129,2020-03-31,,2020-03-30,
2593,48131,2020-04-14,,2020-04-13,
2594,48133,2020-03-23,,2020-03-23,
2595,48135,2020-03-28,2020-04-07,2020-03-23,2020-04-06
2596,48137,,,,
2597,48139,2020-03-18,2020-04-03,2020-03-16,2020-03-30
2598,48141,2020-03-14,2020-04-10,2020-03-09,2020-04-06
2599,48143,2020-03-23,2020-03-31,2020-03-23,2020-03-30
2600,48145,2020-03-23,,2020-03-23,
2601,48147,2020-03-18,2020-05-06,2020-03-16,2020-05-04
2602,48149,2020-03-20,2020-04-24,2020-03-16,2020-04-20
2603,48151,,,,
2604,48153,2020-04-07,,2020-04-06,
2605,48155,,,,
2606,48157,2020-03-05,2020-03-27,2020-03-02,2020-03-23
2607,48159,2020-03-29,,2020-03-23,
2608,48161,2020-04-15,,2020-04-13,
2609,48163,2020-04-08,,2020-04-06,
2610,48165,2020-03-23,2020-04-13,2020-03-23,2020-04-13
2611,48167,2020-03-14,2020-04-05,2020-03-09,2020-03-30
2612,48169,2020-04-30,,2020-04-27,
2613,48171,2020-03-31,,2020-03-30,
2614,48173,2020-04-30,,2020-04-27,
2615,48175,2020-04-02,,2020-03-30,
2616,48177,2020-04-01,2020-04-27,2020-03-30,2020-04-27
2617,48179,2020-04-02,,2020-03-30,
2618,48181,2020-03-23,,2020-03-23,
2619,48183,2020-03-10,,2020-03-09,
2620,48185,2020-03-18,2020-04-16,2020-03-16,2020-04-13
2621,48187,2020-03-20,,2020-03-16,
2622,48189,2020-03-25,2020-04-09,2020-03-23,2020-04-06
2623,48191,,,,
2624,48193,2020-04-07,,2020-04-06,
2625,48195,2020-04-06,2020-05-04,2020-04-06,2020-05-04
2626,48197,,,,
2627,48199,2020-03-22,2020-04-03,2020-03-16,2020-03-30
2628,48201,2020-03-05,2020-03-19,2020-03-02,2020-03-16
2629,48203,2020-03-26,2020-04-03,2020-03-23,2020-03-30
2630,48205,2020-04-19,2020-05-05,2020-04-13,2020-05-04
2631,48207,,,,
2632,48209,2020-03-15,2020-04-14,2020-03-09,2020-04-13
2633,48211,2020-04-03,,2020-03-30,
2634,48213,2020-03-29,,2020-03-23,
2635,48215,2020-03-22,2020-04-08,2020-03-16,2020-04-06
2636,48217,2020-03-29,2020-04-16,2020-03-23,2020-04-13
2637,48219,2020-03-20,2020-04-03,2020-03-16,2020-03-30
2638,48221,2020-03-26,2020-04-03,2020-03-23,2020-03-30
2639,48223,2020-03-24,,2020-03-23,
2640,48225,2020-04-18,,2020-04-13,
2641,48227,2020-04-09,2020-04-11,2020-04-06,2020-04-06
2642,48229,,,,
2643,48231,2020-03-24,2020-04-14,2020-03-23,2020-04-13
2644,48233,2020-04-04,,2020-03-30,
2645,48235,,,,
2646,48237,2020-04-09,,2020-04-06,
2647,48239,2020-03-27,,2020-03-23,
2648,48241,2020-03-30,2020-04-06,2020-03-30,2020-04-06
2649,48243,,,,
2650,48245,2020-03-18,2020-03-26,2020-03-16,2020-03-23
2651,48247,2020-04-23,,2020-04-20,
2652,48249,2020-04-02,,2020-03-30,
2653,48251,2020-03-18,2020-03-29,2020-03-16,2020-03-23
2654,48253,2020-04-08,,2020-04-06,
2655,48255,2020-03-26,,2020-03-23,
2656,48257,2020-03-25,2020-04-30,2020-03-23,2020-04-27
2657,48259,2020-03-20,,2020-03-16,
2658,48261,,,,
2659,48263,,,,
2660,48265,2020-03-31,,2020-03-30,
2661,48267,,,,
2662,48269,,,,
2663,48271,,,,
2664,48273,2020-03-28,2020-04-14,2020-03-23,2020-04-13
2665,48275,2020-04-07,,2020-04-06,
2666,48277,2020-03-20,2020-05-01,2020-03-16,2020-04-27
2667,48279,2020-03-27,,2020-03-23,
2668,48281,2020-04-03,,2020-03-30,
2669,48283,2020-04-16,,2020-04-13,
2670,48285,2020-03-14,2020-04-27,2020-03-09,2020-04-27
2671,48287,2020-04-02,,2020-03-30,
2672,48289,2020-03-30,,2020-03-30,
2673,48291,2020-03-22,2020-05-04,2020-03-16,2020-05-04
2674,48293,2020-03-25,2020-04-04,2020-03-23,2020-03-30
2675,48295,2020-04-29,,2020-04-27,
2676,48297,2020-03-31,,2020-03-30,
2677,48299,2020-03-24,,2020-03-23,
2678,48301,,,,
2679,48303,2020-03-18,2020-03-29,2020-03-16,2020-03-23
2680,48305,2020-03-28,2020-04-23,2020-03-23,2020-04-20
2681,48307,2020-04-07,,2020-04-06,
2682,48309,2020-03-18,2020-04-01,2020-03-16,2020-03-30
2683,48311,,,,
2684,48313,2020-04-09,,2020-04-06,
2685,48315,2020-04-16,,2020-04-13,
2686,48317,2020-03-26,2020-05-05,2020-03-23,2020-05-04
2687,48319,2020-04-04,,2020-03-30,
2688,48321,2020-03-16,2020-03-17,2020-03-16,2020-03-16
2689,48323,2020-03-23,,2020-03-23,
2690,48325,2020-03-21,2020-04-09,2020-03-16,2020-04-06
2691,48327,,,,
2692,48329,2020-03-20,2020-03-24,2020-03-16,2020-03-23
2693,48331,2020-03-20,2020-04-24,2020-03-16,2020-04-20
2694,48333,,,,
2695,48335,2020-04-07,,2020-04-06,
2696,48337,2020-03-27,2020-04-21,2020-03-23,2020-04-20
2697,48339,2020-03-11,2020-04-01,2020-03-09,2020-03-30
2698,48341,2020-03-30,2020-04-20,2020-03-30,2020-04-20
2699,48343,2020-03-25,,2020-03-23,
2700,48345,2020-04-13,,2020-04-13,
2701,48347,2020-03-25,2020-04-03,2020-03-23,2020-03-30
2702,48349,2020-03-27,2020-04-03,2020-03-23,2020-03-30
2703,48351,2020-03-31,,2020-03-30,
2704,48353,2020-04-24,,2020-04-20,
2705,48355,2020-03-21,2020-04-21,2020-03-16,2020-04-20
2706,48357,2020-04-24,2020-04-27,2020-04-20,2020-04-27
2707,48359,2020-03-20,2020-03-24,2020-03-16,2020-03-23
2708,48361,2020-03-23,2020-04-29,2020-03-23,2020-04-27
2709,48363,2020-04-02,2020-04-11,2020-03-30,2020-04-06
2710,48365,2020-03-31,2020-04-03,2020-03-30,2020-03-30
2711,48367,2020-03-23,,2020-03-23,
2712,48369,2020-04-19,,2020-04-13,
2713,48371,2020-04-06,,2020-04-06,
2714,48373,2020-03-28,,2020-03-23,
2715,48375,2020-03-19,2020-04-05,2020-03-16,2020-03-30
2716,48377,,,,
2717,48379,2020-04-09,,2020-04-06,
2718,48381,2020-03-20,2020-04-06,2020-03-16,2020-04-06
2719,48383,,,,
2720,48385,,,,
2721,48387,2020-04-16,,2020-04-13,
2722,48389,2020-03-25,,2020-03-23,
2723,48391,2020-05-04,,2020-05-04,
2724,48393,2020-04-16,,2020-04-13,
2725,48395,2020-03-23,,2020-03-23,
2726,48397,2020-03-26,2020-04-27,2020-03-23,2020-04-27
2727,48399,2020-04-28,,2020-04-27,
2728,48401,2020-03-17,2020-04-17,2020-03-16,2020-04-13
2729,48403,2020-04-16,,2020-04-13,
2730,48405,2020-03-31,2020-04-03,2020-03-30,2020-03-30
2731,48407,2020-03-28,,2020-03-23,
2732,48409,2020-03-25,,2020-03-23,
2733,48411,,,,
2734,48413,,,,
2735,48415,2020-04-13,,2020-04-13,
2736,48417,,,,
2737,48419,2020-03-26,2020-04-30,2020-03-23,2020-04-27
