,fips,first_case_date,first_death_date,first_case_week,first_death_week
1833,36001,2020-03-12,2020-03-29,2020-03-09,2020-03-23
1834,36003,2020-03-16,2020-03-31,2020-03-16,2020-03-30
1835,36005,,,,
1836,36007,2020-03-13,2020-03-22,2020-03-09,2020-03-16
1837,36009,2020-03-28,,2020-03-23,
1838,36011,2020-03-24,2020-04-09,2020-03-23,2020-04-06
1839,36013,2020-03-24,2020-04-01,2020-03-23,2020-03-30
1840,36015,2020-03-23,2020-04-08,2020-03-23,2020-04-06
1841,36017,2020-03-18,,2020-03-16,
1842,36019,2020-03-17,2020-04-11,2020-03-16,2020-04-06
1843,36021,2020-03-20,2020-03-28,2020-03-16,2020-03-23
1844,36023,2020-03-22,,2020-03-16,
1845,36025,2020-03-12,2020-04-03,2020-03-09,2020-03-30
1846,36027,2020-03-12,2020-03-23,2020-03-09,2020-03-23
1847,36029,2020-03-14,2020-03-25,2020-03-09,2020-03-23
1848,36031,2020-03-17,,2020-03-16,
1849,36033,2020-03-25,,2020-03-23,
1850,36035,2020-03-21,,2020-03-16,
1851,36037,2020-03-18,2020-03-31,2020-03-16,2020-03-30
1852,36039,2020-03-16,2020-04-24,2020-03-16,2020-04-20
1853,36041,2020-03-18,,2020-03-16,
1854,36043,2020-03-12,2020-03-28,2020-03-09,2020-03-23
1855,36045,2020-03-21,,2020-03-16,
1856,36047,,,,
1857,36049,2020-03-31,,2020-03-30,
1858,36051,2020-03-21,2020-04-02,2020-03-16,2020-03-30
1859,36053,2020-03-23,2020-03-24,2020-03-23,2020-03-23
1860,36055,2020-03-12,2020-03-17,2020-03-09,2020-03-16
1861,36057,2020-03-16,2020-04-05,2020-03-16,2020-03-30
1862,36059,2020-03-05,2020-03-17,2020-03-02,2020-03-16
1863,36061,2020-03-02,2020-03-12,2020-03-02,2020-03-09
1864,36063,2020-03-19,2020-04-07,2020-03-16,2020-04-06
1865,36065,2020-03-17,2020-04-01,2020-03-16,2020-03-30
1866,36067,2020-03-16,2020-03-24,2020-03-16,2020-03-23
1867,36069,2020-03-16,2020-04-24,2020-03-16,2020-04-20
1868,36071,2020-03-12,2020-03-25,2020-03-09,2020-03-23
1869,36073,2020-03-26,2020-04-16,2020-03-23,2020-04-13
1870,36075,2020-03-23,2020-04-07,2020-03-23,2020-04-06
1871,36077,2020-03-23,2020-03-28,2020-03-23,2020-03-23
1872,36079,2020-03-16,2020-04-03,2020-03-16,2020-03-30
1873,36081,,,,
1874,36083,2020-03-17,2020-04-05,2020-03-16,2020-03-30
1875,36085,,,,
1876,36087,2020-03-07,2020-03-14,2020-03-02,2020-03-09
1877,36089,2020-03-24,,2020-03-23,
1878,36091,2020-03-07,2020-03-30,2020-03-02,2020-03-30
1879,36093,2020-03-13,2020-03-25,2020-03-09,2020-03-23
1880,36095,2020-03-19,,2020-03-16,
1881,36097,2020-03-28,,2020-03-23,
1882,36099,2020-04-01,,2020-03-30,
1883,36101,2020-03-20,2020-04-05,2020-03-16,2020-03-30
1884,36103,2020-03-08,2020-03-16,2020-03-02,2020-03-16
1885,36105,2020-03-17,2020-03-31,2020-03-16,2020-03-30
1886,36107,2020-03-14,2020-04-23,2020-03-09,2020-04-20
1887,36109,2020-03-14,,2020-03-09,
1888,36111,2020-03-08,2020-04-01,2020-03-02,2020-03-30
1889,36113,2020-03-18,,2020-03-16,
1890,36115,2020-03-18,2020-04-05,2020-03-16,2020-03-30
1891,36117,2020-03-20,2020-04-27,2020-03-16,2020-04-27
1892,36119,2020-03-03,2020-03-24,2020-03-02,2020-03-23
1893,36121,2020-03-17,2020-03-23,2020-03-16,2020-03-23
1894,36123,2020-04-02,2020-04-23,2020-03-30,2020-04-20
1895,37001,2020-03-20,2020-04-24,2020-03-16,2020-04-20
1896,37003,2020-03-28,,2020-03-23,
1897,37005,2020-03-28,,2020-03-23,
1898,37007,2020-03-31,,2020-03-30,
1899,37009,2020-04-03,,2020-03-30,
1900,37011,,,,
1901,37013,2020-03-24,,2020-03-23,
1902,37015,2020-03-24,2020-04-02,2020-03-23,2020-03-30
1903,37017,2020-04-02,,2020-03-30,
1904,37019,2020-03-14,2020-04-04,2020-03-09,2020-03-30
1905,37021,2020-03-18,2020-03-29,2020-03-16,2020-03-23
1906,37023,2020-03-25,2020-04-04,2020-03-23,2020-03-30
1907,37025,2020-03-13,2020-03-25,2020-03-09,2020-03-23
1908,37027,2020-03-24,,2020-03-23,
1909,37029,2020-04-27,,2020-04-27,
1910,37031,2020-03-20,2020-03-31,2020-03-16,2020-03-30
1911,37033,2020-03-28,,2020-03-23,
1912,37035,2020-03-20,2020-04-03,2020-03-16,2020-03-30
1913,37037,2020-03-06,2020-04-15,2020-03-02,2020-04-13
1914,37039,2020-03-21,2020-03-31,2020-03-16,2020-03-30
1915,37041,2020-03-20,,2020-03-16,
1916,37043,2020-03-31,,2020-03-30,
1917,37045,2020-03-20,2020-04-15,2020-03-16,2020-04-13
1918,37047,2020-03-28,2020-04-07,2020-03-23,2020-04-06
1919,37049,2020-03-14,2020-04-09,2020-03-09,2020-04-06
1920,37051,2020-03-19,2020-04-08,2020-03-16,2020-04-06
1921,37053,2020-03-29,,2020-03-23,
1922,37055,2020-03-25,2020-04-09,2020-03-23,2020-04-06
1923,37057,2020-03-19,2020-04-06,2020-03-16,2020-04-06
1924,37059,2020-03-21,2020-04-02,2020-03-16,2020-03-30
1925,37061,2020-03-24,2020-05-04,2020-03-23,2020-05-04
1926,37063,2020-03-12,2020-04-04,2020-03-09,2020-03-30
1927,37065,2020-03-28,2020-04-10,2020-03-23,2020-04-06
1928,37067,2020-03-12,2020-03-31,2020-03-09,2020-03-30
1929,37069,2020-03-20,2020-04-08,2020-03-16,2020-04-06
1930,37071,2020-03-18,2020-04-02,2020-03-16,2020-03-30
1931,37073,2020-04-02,,2020-03-30,
1932,37075,2020-04-28,,2020-04-27,
1933,37077,2020-03-21,2020-04-13,2020-03-16,2020-04-13
1934,37079,2020-03-28,,2020-03-23,
1935,37081,2020-03-17,2020-03-31,2020-03-16,2020-03-30
1936,37083,2020-03-27,2020-04-14,2020-03-23,2020-04-13
1937,37085,2020-03-14,2020-03-26,2020-03-09,2020-03-23
1938,37087,2020-04-02,,2020-03-30,
1939,37089,2020-03-22,2020-04-03,2020-03-16,2020-03-30
1940,37091,2020-03-23,2020-04-05,2020-03-23,2020-03-30
1941,37093,2020-03-18,,2020-03-16,
1942,37095,2020-03-21,,2020-03-16,
1943,37097,2020-03-16,2020-04-08,2020-03-16,2020-04-06
1944,37099,2020-03-23,,2020-03-23,
1945,37101,2020-03-12,2020-03-27,2020-03-09,2020-03-23
1946,37103,2020-04-07,2020-04-11,2020-04-06,2020-04-06
1947,37105,2020-03-20,,2020-03-16,
1948,37107,2020-03-24,2020-04-17,2020-03-23,2020-04-13
1949,37109,2020-03-17,,2020-03-16,
1950,37111,2020-03-24,2020-04-23,2020-03-23,2020-04-20
1951,37113,2020-04-02,2020-04-08,2020-03-30,2020-04-06
1952,37115,2020-04-25,,2020-04-20,
1953,37117,2020-03-31,2020-05-04,2020-03-30,2020-05-04
1954,37119,2020-03-12,2020-03-29,2020-03-09,2020-03-23
1955,37121,2020-03-26,,2020-03-23,
1956,37123,2020-03-21,2020-04-01,2020-03-16,2020-03-30
1957,37125,2020-03-18,2020-04-05,2020-03-16,2020-03-30
1958,37127,2020-03-22,2020-04-08,2020-03-16,2020-04-06
1959,37129,2020-03-18,2020-04-13,2020-03-16,2020-04-13
1960,37131,2020-03-23,2020-03-31,2020-03-23,2020-03-30
1961,37133,2020-03-13,2020-03-31,2020-03-09,2020-03-30
1962,37135,2020-03-17,2020-04-10,2020-03-16,2020-04-06
1963,37137,2020-03-30,,2020-03-30,
1964,37139,2020-03-19,2020-04-21,2020-03-16,2020-04-20
1965,37141,2020-04-03,2020-04-27,2020-03-30,2020-04-27
1966,37143,2020-03-28,,2020-03-23,
1967,37145,2020-03-25,2020-05-05,2020-03-23,2020-05-04
1968,37147,2020-03-19,2020-04-07,2020-03-16,2020-04-06
1969,37149,2020-03-27,,2020-03-23,
1970,37151,2020-03-23,2020-04-03,2020-03-23,2020-03-30
1971,37153,2020-04-06,2020-04-11,2020-04-06,2020-04-06
1972,37155,2020-03-21,2020-04-18,2020-03-16,2020-04-13
1973,37157,2020-03-31,2020-04-02,2020-03-30,2020-03-30
1974,37159,2020-03-19,2020-03-28,2020-03-16,2020-03-23
1975,37161,2020-03-30,2020-04-09,2020-03-30,2020-04-06
1976,37163,2020-03-17,2020-05-05,2020-03-16,2020-05-04
1977,37165,2020-03-22,,2020-03-16,
1978,37167,2020-03-28,2020-04-09,2020-03-23,2020-04-06
1979,37169,2020-04-01,,2020-03-30,
1980,37171,2020-03-26,,2020-03-23,
1981,37173,2020-03-27,,2020-03-23,
1982,37175,2020-03-23,,2020-03-23,
1983,37177,2020-04-14,,2020-04-13,
1984,37179,2020-03-18,2020-04-09,2020-03-16,2020-04-06
1985,37181,2020-03-23,2020-04-17,2020-03-23,2020-04-13
1986,37183,2020-03-03,2020-04-15,2020-03-02,2020-04-13
1987,37185,2020-04-03,,2020-03-30,
1988,37187,2020-03-29,2020-04-10,2020-03-23,2020-04-06
1989,37189,2020-03-15,,2020-03-09,
1990,37191,2020-03-13,2020-04-10,2020-03-09,2020-04-06
1991,37193,2020-03-30,2020-04-01,2020-03-30,2020-03-30
1992,37195,2020-03-16,2020-04-04,2020-03-16,2020-03-30
1993,37197,2020-03-28,2020-04-14,2020-03-23,2020-04-13
1994,37199,2020-05-03,,2020-04-27,
1995,38001,,,,
1996,38003,2020-03-28,,2020-03-23,
1997,38005,,,,
1998,38007,,,,
1999,38009,,,,
2000,38011,2020-04-07,,2020-04-06,
2001,38013,2020-04-01,,2020-03-30,
2002,38015,2020-03-18,,2020-03-16,
2003,38017,2020-03-17,2020-03-27,2020-03-16,2020-03-23
2004,38019,,,,
2005,38021,,,,
2006,38023,2020-03-28,,2020-03-23,
2007,38025,2020-03-24,,2020-03-23,
2008,38027,2020-04-03,,2020-03-30,
2009,38029,2020-04-05,2020-04-07,2020-03-30,2020-04-06
2010,38031,2020-03-25,,2020-03-23,
2011,38033,,,,
2012,38035,2020-03-30,2020-05-06,2020-03-30,2020-05-04
2013,38037,2020-03-31,,2020-03-30,
2014,38039,,,,
2015,38041,,,,
2016,38043,,,,
2017,38045,,,,
2018,38047,,,,
2019,38049,2020-03-26,2020-03-31,2020-03-23,2020-03-30
2020,38051,2020-03-27,,2020-03-23,
2021,38053,2020-04-01,,2020-03-30,
2022,38055,2020-03-28,,2020-03-23,
2023,38057,2020-03-28,,2020-03-23,
2024,38059,2020-03-18,2020-03-31,2020-03-16,2020-03-30
2025,38061,2020-03-28,,2020-03-23,
2026,38063,2020-04-19,,2020-04-13,
2027,38065,2020-03-30,,2020-03-30,
2028,38067,2020-04-25,,2020-04-20,
2029,38069,2020-03-20,,2020-03-16,
2030,38071,2020-03-20,,2020-03-16,
2031,38073,2020-04-26,,2020-04-20,
2032,38075,2020-05-01,,2020-04-27,
2033,38077,2020-04-09,,2020-04-06,
2034,38079,2020-04-01,,2020-03-30,
2035,38081,2020-04-10,,2020-04-06,
2036,38083,,,,
2037,38085,2020-03-28,,2020-03-23,
2038,38087,2020-04-03,,2020-03-30,
2039,38089,2020-03-25,2020-04-09,2020-03-23,2020-04-06
2040,38091,,,,
2041,38093,2020-04-08,,2020-04-06,
2042,38095,,,,
2043,38097,,,,
2044,38099,2020-03-24,,2020-03-23,
2045,38101,2020-03-12,2020-04-13,2020-03-09,2020-04-13
2046,38103,2020-04-22,,2020-04-20,
2047,38105,2020-03-31,,2020-03-30,
